"Geschlecht";"Groesse";"Gewicht";"jare";"alter"
"676";"M";185;91.3;48;54
"677";"M";170;76.2;47.3;31
"678";"M";180;82.3;46.7;29
"679";"M";182;94.3;44.7;33
"680";"M";170;100;36.7;58
"681";"M";190;100;60;36
"682";"W";154;67.9;20;54
"683";"W";180;84.6;19.3;29
"684";"W";160;84.3;30;41
"685";"M";185;93;40;58
"686";"W";174;70;29.3;56
"687";"W";173;78.6;24.7;49
"688";"W";170;104.6;30.7;38
"689";"M";175;60;17.3;25
"690";"W";169;56;27.3;34
"691";"W";165;92.4;28;48
"692";"W";160;60;21.3;40
"693";"W";160;89.2;10;64
"694";"W";164;70;23.3;54
"695";"W";163;72;30;53
"696";"W";168;65.6;30.7;43
"697";"M";178;78.8;38.7;41
"698";"W";170;60.3;29.3;44
"699";"W";156;55.3;22.7;65
"700";"W";170;76.8;19.3;42
"701";"W";165;74.3;22.7;43
"702";"W";170;67.5;24;53
"703";"W";170;61.8;28.7;31
"704";"W";163;69.8;22.7;46
"705";"W";161;64.3;20.7;51
"706";"W";173;74.3;30;62
"707";"M";172;74.8;34;62
"708";"M";181;90.6;46.7;46
"709";"M";179;87.7;38.7;54
"710";"M";181;93.8;8.7;63
"711";"M";174;81.9;26.7;50
"712";"M";184;114.9;47.3;48
"713";"W";172;73;19.3;27
"714";"W";164;60.2;37.3;31
"715";"W";171;63.4;28;22
"716";"M";182;85.2;55.3;36
"717";"W";168;80.2;20.7;61
"718";"M";199;104.5;36;22
"719";"W";170;63;18;27
"720";"M";184;81.1;45.3;25
"721";"M";195;77.7;37.3;20
"722";"M";180;71.1;30.7;29
"723";"W";168;82.4;30.7;22
"724";"W";163;59.3;24.7;30
"725";"M";184;85.7;36;27
"726";"M";178;80.1;40.7;29
"727";"M";178;100.8;42;24
"728";"M";177;104.1;40;26
"729";"M";182;96.7;41.3;24
"730";"W";174;68.9;21.3;27
"731";"M";180;82.3;32;24
"732";"M";187;84.3;57.3;28
"733";"W";166;53.7;30.7;27
"734";"W";165;71.6;34.7;31
"735";"M";186;82.2;10.2;27
"736";"M";175;70.2;40.7;27
"737";"W";168;59.7;34.7;29
"738";"W";175;57.6;36.7;27
"739";"W";165;52.2;16;26
"740";"W";175;60.2;28.7;27
"741";"W";154;53.1;28.7;27
"742";"M";180;89.8;53.3;33
"743";"M";178;63.3;46;29
"744";"M";186;74.8;36;30
"745";"M";191;88.8;56.7;27
"746";"M";175;68.2;44.7;29
"747";"W";157;57.8;34;26
"748";"M";163;55.8;22.7;27
"749";"W";173;61.3;25.3;26
"750";"M";181;83.9;37.3;29
"751";"W";160;53.2;23.3;26
"752";"W";175;74.2;30.7;26
"753";"M";178;64.8;38.7;27
"754";"M";183;86.3;40.7;30
"755";"M";172;81.3;51.3;33
